Strategy,Return Mean (avg),Return SD (avg),Return Mean (min),Return SD (max),Negative Return %,"Corr(Return, Risk)"
Shorts OK,0.19872812385658764,0.2931311201035024,-0.13754261265487122,0.8137905682669379,6.75,0.9089595274590873
Long Positions Only,0.11008179375379969,0.12444294750907858,0.029268242507917416,0.23361677984720275,0.0,0.9718627401147838
